encuesta,periodo,year,total_financiacion_reportado,suma_fuentes,diferencia_fuentes,diferencia_fuentes_pct,total_inversion_reportado,suma_usos,diferencia_usos,diferencia_usos_pct,empresas_fuentes_no_cierran,empresas_usos_no_cierran
Industria manufacturera,EDIT X 2019-2020,2019,2200896387.0,2200896387.0,0.0,0.0,2200896387.0,2200896387.0,0.0,0.0,0,0
Servicios y comercio,EDITS VIII 2020-2021,2021,4396144187.0,4396144187.0,0.0,0.0,4396144187.0,4396144187.0,0.0,0.0,0,0
